Time,Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/all),Label (common/hard and soft),LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
10:45:54,0,1,0,0,1,0,1,1,1.0,1.0,328.352,62.798,52.584,57.902,57.908,52.808,49.894,40.335,39.921,39.381,0.542,0.151,0.971,2.479,550.378,5.464
10:45:55,0,1,0,0,1,0,1,1,1.0,1.0,328.421,62.776,52.606,57.902,57.908,52.787,49.915,40.356,39.9,39.36,0.539,0.155,0.952,2.393,547.748,5.854
10:45:56,0,1,0,0,1,0,1,1,1.0,1.0,328.398,62.819,52.606,57.902,57.93,52.808,49.894,40.314,39.879,39.381,0.551,0.156,1.004,2.341,549.301,4.545
10:45:57,0,1,0,0,1,0,1,1,1.0,1.0,328.398,62.776,52.584,57.881,57.887,52.787,49.915,40.335,39.921,39.381,0.545,0.159,0.97,2.314,548.565,5.854
10:45:58,0,1,0,0,1,0,1,1,1.0,1.0,328.329,62.798,52.627,57.86,57.908,52.787,49.915,40.335,39.9,39.381,0.545,0.159,1.027,2.206,549.193,5.854
10:45:59,0,1,0,0,1,0,1,1,1.0,1.0,328.398,62.819,52.627,57.902,57.93,52.787,49.936,40.335,39.9,39.381,0.546,0.158,1.043,2.216,548.825,4.558
10:46:00,0,1,0,0,1,0,1,1,1.0,1.0,328.352,62.755,52.584,57.881,57.908,52.829,49.957,40.356,39.921,39.381,0.544,0.157,1.003,2.247,548.376,5.769
10:46:01,0,1,0,0,1,0,1,1,1.0,1.0,328.398,62.776,52.627,57.923,57.908,52.808,49.957,40.356,39.9,39.381,0.542,0.154,1.031,2.238,549.166,4.448
10:46:02,0,1,0,0,1,0,1,1,1.0,1.0,328.443,62.84,52.627,57.881,57.908,52.808,49.979,40.356,39.9,39.381,0.532,0.154,0.96,2.204,549.193,5.474
10:46:03,0,1,0,0,1,0,1,1,1.0,1.0,328.375,62.755,52.606,57.86,57.887,52.787,49.957,40.356,39.9,39.402,0.534,0.151,0.943,2.243,549.48,5.854
10:46:04,0,1,0,0,1,0,1,1,1.0,1.0,328.421,62.819,52.627,57.923,57.887,52.787,49.979,40.376,39.9,39.402,0.529,0.151,0.985,2.201,549.57,4.558
10:46:05,0,1,0,0,1,0,1,1,1.0,1.0,328.443,62.755,52.627,57.881,57.908,52.787,49.979,40.397,39.921,39.402,0.502,0.15,1.047,2.36,549.848,4.873
10:46:06,0,1,0,0,1,0,1,1,1.0,1.0,328.352,62.755,52.627,57.881,57.887,52.808,50.0,40.397,39.921,39.381,0.494,0.149,1.078,2.342,549.758,5.464
10:46:07,0,1,0,0,1,0,1,1,1.0,1.0,328.352,62.776,52.627,57.902,57.93,52.808,49.979,40.376,39.921,39.381,0.517,0.149,1.065,2.295,549.902,4.873
10:46:08,0,1,0,0,1,0,1,1,1.0,1.0,328.466,62.776,52.627,57.902,57.93,52.787,49.979,40.397,39.942,39.381,0.518,0.151,0.959,2.297,549.579,5.469
10:46:09,0,1,0,0,1,0,1,1,1.0,1.0,328.466,62.84,52.648,57.881,57.887,52.787,49.957,40.397,39.921,39.402,0.528,0.151,1.016,2.233,549.444,5.842
10:46:10,0,1,0,0,1,0,1,1,1.0,1.0,328.421,62.776,52.627,57.86,57.908,52.808,49.957,40.397,39.921,39.402,0.528,0.151,1.014,2.26,550.279,4.558
10:46:11,0,1,0,0,1,0,1,1,1.0,1.0,328.466,62.819,52.627,57.86,57.845,52.766,50.0,40.418,39.963,39.402,0.518,0.149,1.014,2.26,550.638,4.558
10:46:12,0,1,0,0,1,0,1,1,1.0,1.0,328.466,62.798,52.627,57.881,57.93,52.829,50.0,40.376,39.984,39.402,0.518,0.148,1.06,2.38,550.638,5.859
10:46:13,0,1,0,0,1,0,1,1,1.0,1.0,328.375,62.776,52.627,57.902,57.93,52.85,50.0,40.397,39.984,39.36,0.524,0.149,0.995,2.234,549.642,4.554
10:46:14,0,1,0,0,1,0,1,1,1.0,1.0,328.443,62.861,52.648,57.923,57.93,52.829,50.021,40.418,39.984,39.36,0.528,0.15,1.108,2.22,549.175,5.464
10:46:15,0,1,0,0,1,0,1,1,1.0,1.0,328.489,62.84,52.648,57.881,57.908,52.808,50.0,40.397,39.963,39.381,0.528,0.15,1.108,2.176,548.475,5.464
10:46:16,0,1,0,0,1,0,1,1,1.0,1.0,328.443,62.798,52.648,57.86,57.908,52.766,50.021,40.397,40.005,39.381,0.525,0.15,1.016,2.176,548.475,4.873
10:46:17,0,1,0,0,1,0,1,1,1.0,1.0,328.466,62.84,52.648,57.902,57.908,52.787,50.063,40.397,39.984,39.36,0.535,0.149,0.985,2.143,547.775,5.46
10:46:18,0,1,0,0,1,0,1,1,1.0,1.0,328.443,62.755,52.669,57.881,57.908,52.787,50.063,40.397,39.963,39.36,0.536,0.15,0.955,2.103,546.654,4.878
10:46:19,0,1,0,0,1,0,1,1,1.0,1.0,328.421,62.776,52.648,57.881,57.93,52.829,50.084,40.397,40.005,39.339,0.534,0.147,1.0,2.11,548.143,4.883
10:46:20,0,1,0,0,1,0,1,1,1.0,1.0,328.443,62.819,52.648,57.923,57.93,52.787,50.063,40.418,39.984,39.339,0.53,0.146,0.966,2.108,548.439,5.474
10:46:21,0,1,0,0,1,0,1,1,1.0,1.0,328.398,62.798,52.627,57.923,57.93,52.85,50.084,40.418,39.984,39.318,0.526,0.146,0.956,2.104,547.667,4.878
10:46:22,0,1,0,0,1,0,1,1,1.0,1.0,328.398,62.776,52.648,57.923,57.93,52.829,50.105,40.418,39.984,39.339,0.532,0.146,1.006,2.146,547.344,5.46
10:46:23,0,1,0,0,1,0,1,1,1.0,1.0,328.443,62.798,52.648,57.881,57.93,52.787,50.084,40.418,39.984,39.339,0.523,0.146,1.037,2.164,547.47,4.878
10:46:24,0,1,0,0,1,0,1,1,1.0,1.0,328.535,62.819,52.627,57.881,57.908,52.787,50.063,40.397,39.984,39.318,0.529,0.146,1.02,2.167,547.784,5.464
