Time,Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/all),Label (common/hard and soft),LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
10:25:31,0,0,0,0,0,0,0,0,1.0,1.0,365.552,50.613,40.184,46.135,45.735,40.641,33.581,29.645,28.604,28.494,0.172,0.766,0.442,1.451,349.399,5.329
10:25:32,0,0,0,0,0,0,0,0,1.0,1.0,365.552,50.613,40.184,46.176,45.735,40.62,33.665,29.645,28.625,28.494,0.165,0.765,0.458,1.498,349.561,5.474
10:25:33,0,0,0,0,0,0,0,0,1.0,1.0,365.575,50.698,40.205,46.176,45.735,40.599,33.707,29.624,28.583,28.494,0.168,0.764,0.465,1.453,349.417,5.854
10:25:34,0,0,0,0,0,0,0,0,1.0,1.0,365.598,50.613,40.184,46.114,45.693,40.557,33.791,29.645,28.625,28.494,0.065,0.763,0.488,1.464,349.309,5.464
10:25:35,0,0,0,0,0,0,0,0,1.0,1.0,365.529,50.634,40.163,46.114,45.714,40.641,33.896,29.624,28.604,28.494,0.18,0.761,0.39,1.462,349.265,4.873
10:25:36,0,0,0,0,0,0,0,0,1.0,1.0,365.598,50.677,40.163,46.197,45.735,40.599,33.98,29.645,28.604,28.494,0.185,0.759,0.405,1.472,350.018,5.464
10:25:37,0,0,0,0,0,0,0,0,1.0,1.0,365.69,50.656,40.184,46.135,45.714,40.578,34.042,29.624,28.583,28.515,0.18,0.758,0.313,1.552,349.812,5.859
10:25:38,0,0,0,0,0,0,0,0,1.0,1.0,365.621,50.613,40.163,46.135,45.693,40.578,34.126,29.624,28.604,28.494,0.177,0.758,0.315,1.507,349.552,5.464
10:25:39,0,0,0,0,0,0,0,0,1.0,1.0,365.575,50.634,40.163,46.176,45.735,40.62,34.21,29.624,28.604,28.494,0.167,0.756,0.351,1.53,349.327,5.848
10:25:40,0,0,0,0,0,0,0,0,1.0,1.0,365.69,50.698,40.205,46.176,45.735,40.578,34.252,29.603,28.604,28.494,0.166,0.755,0.402,1.46,349.327,5.464
10:25:41,0,0,0,0,0,0,0,0,1.0,1.0,365.644,50.634,40.184,46.135,45.714,40.578,34.315,29.603,28.583,28.515,0.134,0.755,0.359,1.469,349.157,4.878
10:25:42,0,0,0,0,0,0,0,0,1.0,1.0,365.621,50.613,40.184,46.155,45.714,40.599,34.378,29.582,28.604,28.473,0.082,0.754,0.366,1.539,348.906,5.464
10:25:43,0,0,0,0,0,0,0,0,1.0,1.0,365.644,50.677,40.163,46.176,45.714,40.599,34.441,29.624,28.604,28.494,0.194,0.753,0.366,1.513,349.058,5.464
10:25:44,0,0,0,0,0,0,0,0,1.0,1.0,365.598,50.613,40.163,46.155,45.714,40.599,34.525,29.603,28.604,28.494,0.187,0.752,0.356,1.498,349.175,5.854
